06/2025	Started Applied Scientist Internship at Amazon <svg version="1.1" id="Layer_1" xmlns="http://www.w3.org/2000/svg" xmlns:xlink="http://www.w3.org/1999/xlink" x="0px" y="0px" viewBox="0 0 12 12" style="enable-background:new 0 0 291.319 291.319;" xml:space="preserve" width="12" height="12"><g><path style="fill:#F4B459;" d="M10.384 9.882c-4.945 2.353 -8.014 0.384 -9.978 -0.812 -0.122 -0.075 -0.328 0.018 -0.149 0.223C0.912 10.087 3.057 12 5.856 12c2.802 0 4.468 -1.529 4.676 -1.794 0.206 -0.265 0.061 -0.41 -0.149 -0.323m1.389 -0.767c-0.134 -0.173 -0.807 -0.205 -1.232 -0.153 -0.426 0.05 -1.063 0.31 -1.008 0.466 0.029 0.058 0.086 0.033 0.379 0.006 0.294 -0.03 1.114 -0.134 1.285 0.09 0.172 0.226 -0.262 1.298 -0.342 1.47 -0.077 0.173 0.03 0.218 0.173 0.102 0.142 -0.115 0.398 -0.413 0.57 -0.834 0.171 -0.424 0.275 -1.016 0.174 -1.147"/><path style="fill:#484848;" d="M9.133 6.146V2.206c0 -0.677 -0.654 -2.206 -3.007 -2.206S2.521 1.47 2.521 2.794l1.966 0.176s0.438 -1.323 1.454 -1.323S6.888 2.47 6.888 2.649v0.857c-1.302 0.043 -4.537 0.415 -4.537 3.142 0 2.933 3.702 3.055 4.915 1.161 0.047 0.077 0.1 0.152 0.167 0.223a31.2 31.2 0 0 0 1.042 1.029l1.518 -1.5c0.002 -0.001 -0.862 -0.678 -0.862 -1.413m-4.498 0.138c0 -1.259 1.35 -1.514 2.254 -1.545v1.084c-0.001 2.147 -2.254 1.822 -2.254 0.462"/></g></svg> @ Seattle, WA
05/2025	One paper is accepted by the Findings of ACL 2025. Thanks to my excellent collaborators!
04/2025	Accepted NeurIPS 2025 reviewer invitation
12/2024	Accepted ICML 2025 reviewer invitation
09/2024	<a href="https://arxiv.org/abs/2306.16869" target="_blank" rel="noopener noreferrer">NeuralFuse</a> has been accepted to NeurIPS 2024. Thanks to my excellent collaborators!
08/2024	Accepted ICLR 2024 reviewer invitation
07/2024	Accepted AAAI 2025 reviewer invitation
05/2024	Accepted NeurIPS 2024 reviewer invitation
04/2024	My paper "<a href="https://iclr.cc/virtual/2024/22445" target="_blank" rel="noopener noreferrer">Data Debiasing via Model-free Data Pruning</a>" has been accepted by ICLR 2024 Workshop on Navigating and Addressing Data Problems for Foundation Models
03/2024	Received ICLR 2024 scholar award
01/2024	<a href="https://arxiv.org/abs/2310.08381" target="_blank" rel="noopener noreferrer">AutoVP</a> has been accepted to ICLR 2024 (acceptance rate = 2250/7262 = 30.98%)
